Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation strength
Otu0705,Otu0795,-0.312704,0.002832,0.020072121,0.312704,1
Otu0705,Otu1501,0.299919,0.0031,0.021327273,0.299919,1
Otu0711,Otu0728,-0.293835,0.002648,0.018997578,0.293835,1
Otu0711,Otu0776,0.298574,0.006848,0.037712225,0.298574,1
Otu0711,Otu0790,-0.340089,0.000556,0.006066865,0.340089,1
Otu0711,Otu0797,-0.347448,0.000364,0.004641,0.347448,1
Otu0711,Otu0798,-0.385059,0.000208,0.003167847,0.385059,1
Otu0711,Otu0918,-0.279869,0.006068,0.034220019,0.279869,1
Otu0711,Otu1891,-0.25888,0.009484,0.046256682,0.25888,1
Otu0711,Otu1947,-0.337739,0.000456,0.005430335,0.337739,1
Otu0711,Otu1985,-0.270722,0.006168,0.034534912,0.270722,1
Otu0716,Otu0728,0.325749,0.007292,0.039417124,0.325749,1
Otu0716,Otu0797,0.515489,2.80E-05,0.000755034,0.515489,2
Otu0716,Otu0809,0.350167,0.003364,0.022356782,0.350167,1
Otu0716,Otu0886,-0.262031,0.003252,0.021824503,0.262031,1
Otu0716,Otu0915,0.536619,8.00E-06,0.000260667,0.536619,2
Otu0716,Otu0945,0.380434,0.001428,0.012182138,0.380434,1
Otu0716,Otu1109,-0.322351,0.00062,0.006611455,0.322351,1
Otu0716,Otu1411,0.641534,0,0,0.641534,3
Otu0716,Otu1717,0.337059,0.004744,0.029442921,0.337059,1
Otu0716,Otu1797,0.350572,0.002624,0.018883141,0.350572,1
Otu0716,Otu1840,0.363297,0.001484,0.012478366,0.363297,1
